RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Join
JA495506,,11/2/2017 6:50,35,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/2/2017 8:45,DISREGARDING STOP SIGN,FAILING TO REDUCE SPEED TO AVOID CRASH,1000,W,LAKE ST,1214,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,5,11,41.8856927,-87.65220232,POINT (-87.652202315319 41.885692703217),1
JA506065,,11/2/2017 6:55,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,11/10/2017 8:50,UNABLE TO DETERMINE,NOT APPLICABLE,5800,N,HARLEM AVE,1612,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,6,5,11,41.98599562,-87.80706012,POINT (-87.807060122844 41.985995615086),1
JA497488,,11/2/2017 6:55,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/3/2017 16:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2900,S,DAMEN AVE,912,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,5,11,41.83940222,-87.67555714,POINT (-87.675557141968 41.839402216623),1
JA495465,,11/2/2017 7:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,FOG/SMOKE/HAZE,DAYLIGHT,ANGLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/2/2017 8:00,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,10600,S,EWING AVE,432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.70264303,-87.53542985,POINT (-87.535429846322 41.702643027286),1
JA495639,,11/2/2017 7:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAWN,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,11/2/2017 10:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5299,S,CORNELL AVE,234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,7,5,11,41.79969157,-87.58537175,POINT (-87.585371752073 41.799691569412),1
JA495459,,11/2/2017 7:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 7:45,FOLLOWING TOO CLOSELY,NOT APPLICABLE,2544,N,CENTRAL AVE,2515,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.92713748,-87.76624843,POINT (-87.766248430584 41.927137476474),1
JA504737,,11/2/2017 7:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/9/2017 7:07,EQUIPMENT - VEHICLE CONDITION,FAILING TO REDUCE SPEED TO AVOID CRASH,2221,E,83RD ST,412,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.74429919,-87.57008434,POINT (-87.570084334622 41.744299192884),1
JA495435,,11/2/2017 7:00,30,NO CONTROLS,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/2/2017 7:10,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,500,W,75TH ST,732,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.7581477,-87.63702661,POINT (-87.637026605766 41.758147697042),1
JA495429,,11/2/2017 7:03,45,NO CONTROLS,NO CONTROLS,RAIN,DAWN,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT ON HILLCREST,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/2/2017 7:05,UNABLE TO DETERMINE,UNABLE TO DETERMINE,9600,S,CHICAGO SKYWAY IB,431,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.72090561,-87.54738787,POINT (-87.547387865827 41.720905613954),1
JA495440,,11/2/2017 7:08,45,NO CONTROLS,NO CONTROLS,RAIN,DAWN,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT ON HILLCREST,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/2/2017 7:08,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,9600,S,CHICAGO SKYWAY IB,431,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.72090561,-87.54738787,POINT (-87.547387865827 41.720905613954),1
JA495467,,11/2/2017 7:10,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,ONE-WAY,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/2/2017 7:45,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,500,S,WELLS ST,123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.87553265,-87.63380389,POINT (-87.633803891217 41.875532652069),1
JA495852,,11/2/2017 7:11,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 13:15,UNABLE TO DETERMINE,UNABLE TO DETERMINE,810,N,CICERO AVE,1531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.89540466,-87.74596543,POINT (-87.745965431415 41.895404662004),1
JA495446,,11/2/2017 7:13,30,NO CONTROLS,NO CONTROLS,RAIN,DAWN,PEDESTRIAN,DIVIDED - W/MEDIAN BARRIER,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/2/2017 7:13,WEATHER,EXCEEDING SAFE SPEED FOR CONDITIONS,3201,S,STATE ST,211,,,,,,,2,INCAPACITATING INJURY,1,0,1,0,0,3,0,7,5,11,41.83637183,-87.62638079,POINT (-87.626380789842 41.836371827385),1
JA495511,,11/2/2017 7:15,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 8:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,11001,S,WESTERN AVE,2212,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,5,11,41.69395273,-87.68107554,POINT (-87.681075542499 41.693952727768),1
JA495450,,11/2/2017 7:15,40,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/2/2017 7:40,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1000,N,LAKE SHORE DR SB,1824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.90095892,-87.61992817,POINT (-87.619928173678 41.900958919109),1
JA496348,,11/2/2017 7:20,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/2/2017 18:30,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),NOT APPLICABLE,1021,N,HAMLIN AVE,1112,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.89972333,-87.72118597,POINT (-87.721185967972 41.899723332232),1
JA495862,,11/2/2017 7:20,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 13:09,FAILING TO YIELD RIGHT-OF-WAY,DISREGARDING TRAFFIC SIGNALS,500,N,LAKE SHORE DR SB,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.89114707,-87.61437506,POINT (-87.61437505723 41.89114707171),1
JA496074,,11/2/2017 7:30,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 15:37,IMPROPER OVERTAKING/PASSING,FOLLOWING TOO CLOSELY,2643,S,CENTRAL PARK AVE,1032,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.84310007,-87.71460345,POINT (-87.714603447726 41.843100073865),1
JA495685,,11/2/2017 7:30,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/2/2017 11:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,37,S,STATE ST,112,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.88110479,-87.62758877,POINT (-87.627588764703 41.881104792071),1
JA495461,,11/2/2017 7:30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/2/2017 7:40,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,5400,W,LAWRENCE AVE,1623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.96778018,-87.76266011,POINT (-87.762660113029 41.967780181534),1
JA496083,,11/2/2017 7:30,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,,,"$501 - $1,500",11/2/2017 15:42,FOLLOWING TOO CLOSELY,NOT APPLICABLE,111,W,WACKER DR,122,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.88670692,-87.63135247,POINT (-87.631352470963 41.886706918965),1
JA496243,,11/2/2017 7:30,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/2/2017 17:00,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,740,N,CICERO AVE,1531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.89436153,-87.74593258,POINT (-87.745932580091 41.894361532061),1
JA495453,,11/2/2017 7:35,30,NO CONTROLS,NO CONTROLS,OTHER,DARKNESS,ANGLE,ALLEY,,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 7:47,UNABLE TO DETERMINE,NOT APPLICABLE,4343,W,21ST PL,1012,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.85235019,-87.7338036,POINT (-87.733803603983 41.85235019147),1
JA495481,,11/2/2017 7:37,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/2/2017 8:27,WEATHER,UNABLE TO DETERMINE,100,W,CERMAK RD,131,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,5,11,41.85299122,-87.62938693,POINT (-87.629386933044 41.852991219253),1
JA496468,Y,11/2/2017 7:40,35,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/2/2017 19:40,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3900,W,115TH ST,2211,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,7,5,11,41.68411096,-87.71773112,POINT (-87.717731119559 41.684110958539),1
JA495953,,11/2/2017 7:40,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",11/2/2017 14:00,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,1598,N,CENTRAL AVE,2531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.90932035,-87.7658987,POINT (-87.765898694984 41.909320351644),1
JA495470,,11/2/2017 7:44,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAWN,REAR END,DIVIDED - W/MEDIAN BARRIER,,"CURVE, LEVEL",WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/2/2017 7:45,FOLLOWING TOO CLOSELY,WEATHER,6258,S,LAKE SHORE DR,331,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,7,5,11,,,,1
JA496239,,11/2/2017 7:45,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/2/2017 17:37,FOLLOWING TOO CLOSELY,NOT APPLICABLE,4000,N,CUMBERLAND AVE,1614,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,7,5,11,41.95214259,-87.83681427,POINT (-87.836814266937 41.952142587107),1
JA496312,,11/2/2017 7:45,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 18:15,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1427,W,MONTROSE AVE,1912,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,11,41.96152383,-87.66603986,POINT (-87.666039855558 41.961523824746),1
JA495476,,11/2/2017 7:50,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",11/2/2017 7:51,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3800,W,MARQUETTE RD,833,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,4,0,7,5,11,41.77155776,-87.7177987,POINT (-87.717798696372 41.771557756749),1
JA495473,,11/2/2017 7:50,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/2/2017 8:00,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,1421,W,MONTROSE AVE,1915,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,5,11,41.96152548,-87.6659003,POINT (-87.665900299674 41.961525480131),1
JA495929,,11/2/2017 7:50,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/2/2017 13:15,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3334,E,108TH ST,432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,5,11,41.69925171,-87.5424206,POINT (-87.542420598017 41.6992517114),1
JA495737,,11/2/2017 7:50,20,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,REAR END,ONE-WAY,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/2/2017 11:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4959,W,WELLINGTON AVE,2521,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,4,0,7,5,11,41.93500916,-87.75152396,POINT (-87.751523954517 41.935009158695),1
JA495887,,11/2/2017 8:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",11/2/2017 13:00,IMPROPER TURNING/NO SIGNAL,FAILING TO REDUCE SPEED TO AVOID CRASH,2144,S,CANALPORT AVE,1235,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,8,5,11,41.85340067,-87.64970801,POINT (-87.649708009011 41.85340066852),1
JA495449,,11/2/2017 8:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAWN,TURNING,DIVIDED - W/MEDIAN BARRIER,6,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/2/2017 8:05,DISREGARDING TRAFFIC SIGNALS,FAILING TO REDUCE SPEED TO AVOID CRASH,400,S,ASHLAND AVE,1231,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,5,11,41.87633286,-87.66681112,POINT (-87.666811117572 41.87633285922),1
JA495493,,11/2/2017 8:00,30,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,REAR END,NOT DIVIDED,4,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/2/2017 8:05,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6427,S,PULASKI RD,823,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,5,11,41.77596058,-87.72254454,POINT (-87.72254453875 41.775960574882),1
JA496354,,11/2/2017 8:00,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/2/2017 18:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1410,S,MUSEUM CAMPUS DR,132,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,5,11,41.86262829,-87.61503109,POINT (-87.615031094113 41.862628294038),1
JA495494,,11/2/2017 8:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 8:25,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,2258,W,69TH ST,832,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,5,11,41.76847202,-87.68077901,POINT (-87.680779009038 41.768472024444),1
JA495627,,11/2/2017 8:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,5,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 10:20,IMPROPER LANE USAGE,IMPROPER LANE USAGE,1130,S,HALSTED ST,1232,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,5,11,41.86795999,-87.64706799,POINT (-87.647067984765 41.867959987356),1
JA495505,,11/2/2017 8:01,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/2/2017 8:05,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,949,N,WESTERN AVE,1212,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,5,11,41.89902107,-87.68677928,POINT (-87.686779275201 41.899021069348),1
JA495578,,11/2/2017 8:10,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/2/2017 9:15,FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,1835,W,HARRISON ST,1231,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,5,11,41.87398795,-87.67299741,POINT (-87.672997409337 41.873987953314),1
JA495541,,11/2/2017 8:10,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 9:20,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,1601,W,42ND ST,924,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,5,11,41.81759912,-87.66524463,POINT (-87.665244626858 41.81759911478),1
JA495485,,11/2/2017 8:10,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/2/2017 8:15,WEATHER,IMPROPER LANE USAGE,240,W,WASHINGTON ST,122,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,5,11,41.88331648,-87.63504707,POINT (-87.63504707246 41.883316483935),1
JA495507,,11/2/2017 8:12,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/2/2017 9:00,UNABLE TO DETERMINE,NOT APPLICABLE,3129,N,NARRAGANSETT AVE,2511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,5,11,41.93736135,-87.78575343,POINT (-87.785753431932 41.937361348682),1
JA495633,Y,11/2/2017 8:15,15,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,FIXED OBJECT,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,Y,$500 OR LESS,11/2/2017 10:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,11159,S,KEDZIE AVE,2211,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,5,11,41.6898382,-87.70061334,POINT (-87.700613340727 41.689838199698),1
