RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Join
JA495011,,11/1/2017 18:50,30,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/1/2017 18:50,IMPROPER OVERTAKING/PASSING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,5646,W,NORTH AVE,2531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,4,11,41.90946269,-87.76743286,POINT (-87.76743285745 41.909462685112),1
JA495214,N,11/1/2017 18:50,10,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,PARKED MOTOR VEHICLE,OTHER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,Y,"OVER $1,500",11/1/2017 20:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1815,W,MONROE ST,1223,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,4,11,41.87997165,-87.67233615,POINT (-87.672336145083 41.879971646857),1
JA494990,,11/1/2017 18:50,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/1/2017 19:20,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1198,W,THORNDALE AVE,2433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,4,11,41.99011704,-87.66017523,POINT (-87.660175229791 41.990117039805),1
JA494964,,11/1/2017 18:54,5,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,PARKING LOT,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/1/2017 18:57,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,151,E,WACKER DR,114,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,18,4,11,41.88799989,-87.62256513,POINT (-87.62256513256 41.887999887349),1
JA494955,,11/1/2017 18:58,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,4,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/1/2017 18:58,EXCEEDING AUTHORIZED SPEED LIMIT,NOT APPLICABLE,7736,N,SHERIDAN RD,2422,,,,,,,3,NONINCAPACITATING INJURY,1,0,0,1,0,3,0,18,4,11,42.02231243,-87.66698019,POINT (-87.666980188891 42.022312424809),1
JA499097,Y,11/1/2017 19:00,30,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,PEDESTRIAN,NOT DIVIDED,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/4/2017 19:35,IMPROPER TURNING/NO SIGNAL,IMPROPER TURNING/NO SIGNAL,3199,W,ROSEMONT AVE,2413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.99551595,-87.70923279,POINT (-87.709232787123 41.995515945215),1
JA497343,,11/1/2017 19:00,10,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,PARKED MOTOR VEHICLE,PARKING LOT,2,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/3/2017 14:16,UNABLE TO DETERMINE,UNABLE TO DETERMINE,333,W,35TH ST,915,Y,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,11,41.83078366,-87.63529578,POINT (-87.635295783045 41.830783662283),1
JA495562,Y,11/1/2017 19:00,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/2/2017 9:30,IMPROPER BACKING,NOT APPLICABLE,8331,W,SUMMERDALE AVE,1614,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,11,41.97637778,-87.83503279,POINT (-87.835032794318 41.976377776651),1
JA495078,,11/1/2017 19:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,ICE,"RUT, HOLES",NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/1/2017 20:00,WEATHER,NOT APPLICABLE,3852,W,FULLERTON AVE,2524,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.92462747,-87.72403194,POINT (-87.724031943843 41.924627468092),1
JA495028,,11/1/2017 19:00,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,"RUT, HOLES",NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",11/1/2017 19:37,WEATHER,WEATHER,3900,S,MORGAN ST,925,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,11,41.82333242,-87.65093271,POINT (-87.650932713328 41.823332414701),1
JA495664,,11/1/2017 19:00,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/2/2017 10:55,UNABLE TO DETERMINE,NOT APPLICABLE,51,E,HARRISON ST,123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,11,41.87430072,-87.62590413,POINT (-87.625904131709 41.874300719423),1
JA495040,Y,11/1/2017 19:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/1/2017 19:47,FOLLOWING TOO CLOSELY,EXCEEDING SAFE SPEED FOR CONDITIONS,2201,S,WENTWORTH AVE,914,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.85281839,-87.63186167,POINT (-87.631861665792 41.852818393869),1
JA494959,,11/1/2017 19:00,35,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/1/2017 19:05,FOLLOWING TOO CLOSELY,WEATHER,1214,N,SEDGWICK ST,1821,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.90426877,-87.63852409,POINT (-87.638524090047 41.904268771623),1
JA495003,,11/1/2017 19:00,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT ON GRADE,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/1/2017 19:36,IMPROPER BACKING,IMPROPER BACKING,11100,S,STATE ST,522,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.69253704,-87.62324927,POINT (-87.623249265298 41.692537041934),1
JA494988,,11/1/2017 19:05,30,NO CONTROLS,NO CONTROLS,RAIN,DUSK,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/1/2017 19:15,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7110,S,VINCENNES AVE,731,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,4,11,41.76510105,-87.62824457,POINT (-87.628244571152 41.765101048302),1
JA495053,,11/1/2017 19:10,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",11/1/2017 19:48,DISREGARDING STOP SIGN,WEATHER,8301,S,HOLLAND RD,622,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,19,4,11,41.74343077,-87.63188804,POINT (-87.631888034664 41.743430774143),1
JA495523,,11/1/2017 19:10,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/2/2017 8:45,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,6500,W,HIGGINS AVE,1613,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.97718538,-87.79027351,POINT (-87.790273511287 41.977185378359),1
JA494968,,11/1/2017 19:10,45,NO CONTROLS,UNKNOWN,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,ONE-WAY,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/1/2017 19:13,UNABLE TO DETERMINE,WEATHER,5151,W,WASHINGTON BLVD,1533,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.8815526,-87.75473318,POINT (-87.754733176865 41.881552598609),1
JA495039,Y,11/1/2017 19:15,25,STOP SIGN/FLASHER,NO CONTROLS,RAIN,DARKNESS,PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/1/2017 19:21,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7753,S,ABERDEEN ST,612,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,11,41.75261704,-87.6512229,POINT (-87.651222902171 41.752617043498),1
JA495080,,11/1/2017 19:15,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/1/2017 19:25,NOT APPLICABLE,NOT APPLICABLE,1805,W,PETERSON AVE,2012,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,11,41.9906387,-87.67548961,POINT (-87.675489613005 41.990638701406),1
JA495263,,11/1/2017 19:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ALLEY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,$500 OR LESS,11/1/2017 23:20,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,40,W,RANDOLPH ST,111,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.88459127,-87.62937873,POINT (-87.629378726528 41.884591274157),1
JA495055,,11/1/2017 19:20,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,ONE-WAY,3,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/1/2017 19:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,118,E,ERIE ST,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,19,4,11,41.89424285,-87.62440858,POINT (-87.624408575243 41.894242854484),1
JA495123,,11/1/2017 19:20,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/1/2017 20:58,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3699,N,CUMBERLAND AVE,1631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.94649027,-87.83634598,POINT (-87.836345979309 41.946490269154),1
JA495013,,11/1/2017 19:21,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/1/2017 19:21,WEATHER,UNABLE TO DETERMINE,5559,W,55TH ST,813,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,4,11,41.79262719,-87.76223672,POINT (-87.762236715039 41.792627188132),1
JA495035,,11/1/2017 19:26,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,11/1/2017 19:30,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5957,N,PULASKI RD,1711,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,19,4,11,41.99000462,-87.72847792,POINT (-87.72847792181 41.990004618613),1
JA495116,Y,11/1/2017 19:30,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,2,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/1/2017 20:45,UNABLE TO DETERMINE,NOT APPLICABLE,3600,N,TALMAN AVE,1921,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,11,41.94680061,-87.69502985,POINT (-87.695029848126 41.946800609187),1
JA496139,,11/1/2017 19:30,10,NO CONTROLS,NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",ANGLE,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/2/2017 16:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3300,N,ASHLAND AVE,1922,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,19,4,11,41.94156586,-87.6688604,POINT (-87.668860402909 41.941565857782),1
JA495048,,11/1/2017 19:30,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,11/1/2017 19:37,FAILING TO YIELD RIGHT-OF-WAY,EXCEEDING SAFE SPEED FOR CONDITIONS,3730,N,HALSTED ST,1923,,,,,,,2,INCAPACITATING INJURY,1,0,1,0,0,1,0,19,4,11,41.95009986,-87.64972417,POINT (-87.649724173573 41.950099863241),1
JA495072,,11/1/2017 19:31,20,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,11/1/2017 19:36,WEATHER,NOT APPLICABLE,3100,S,KEELER AVE,1031,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,19,4,11,41.83673305,-87.72935523,POINT (-87.729355228422 41.836733044976),1
JA495086,,11/1/2017 19:35,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DARKNESS,TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/1/2017 20:25,IMPROPER LANE USAGE,NOT APPLICABLE,1566,N,DAMEN AVE,1424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,4,11,41.91018019,-87.67759242,POINT (-87.677592420743 41.910180188826),1
JA495363,,11/1/2017 19:35,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,4,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/2/2017 3:00,FOLLOWING TOO CLOSELY,WEATHER,162,N,BESSIE COLEMAN DR,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,4,11,,,,1
JA495119,,11/1/2017 19:38,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/1/2017 19:40,IMPROPER LANE USAGE,UNABLE TO DETERMINE,4040,N,CICERO AVE,1624,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,4,11,41.95467941,-87.74748532,POINT (-87.747485316517 41.954679405566),1
JA495049,,11/1/2017 19:40,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,11/1/2017 19:44,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,6532,W,ADDISON ST,1632,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,19,4,11,41.9457041,-87.79012671,POINT (-87.790126712575 41.945704097033),1
JA495081,,11/1/2017 19:45,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/1/2017 19:49,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5314,W,DIVISION ST,2532,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.90232429,-87.75889108,POINT (-87.758891080837 41.902324284618),1
JA495058,,11/1/2017 19:45,25,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/1/2017 19:55,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6300,S,KILPATRICK AVE,813,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.77836441,-87.7399904,POINT (-87.739990396151 41.778364408958),1
JA495065,,11/1/2017 19:45,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),9,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,11/1/2017 19:55,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,1500,S,CALIFORNIA BLVD,1022,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,19,4,11,41.86111962,-87.69589594,POINT (-87.695895939093 41.86111962192),1
JA495056,,11/1/2017 19:45,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/1/2017 20:00,DISREGARDING STOP SIGN,NOT APPLICABLE,6100,N,KIMBALL AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.99212704,-87.71418816,POINT (-87.714188160399 41.992127035009),1
JA495089,,11/1/2017 19:55,15,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/1/2017 19:58,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,5601,S,KEDZIE AVE,824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,11,41.79160987,-87.7033556,POINT (-87.703355598231 41.791609871969),1
JA495305,,11/1/2017 19:56,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/2/2017 0:10,WEATHER,EXCEEDING AUTHORIZED SPEED LIMIT,5508,N,PARIS AVE,1614,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,4,11,41.97962878,-87.83059328,POINT (-87.830593284313 41.979628777188),1
JA495095,,11/1/2017 20:00,15,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,3,STRAIGHT ON HILLCREST,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,Y,Y,"OVER $1,500",11/1/2017 20:15,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1300,S,CANAL ST,124,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,6,0,20,4,11,41.86553317,-87.63934164,POINT (-87.639341643824 41.865533169393),1
JA495114,,11/1/2017 20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED - W/MEDIAN BARRIER,6,STRAIGHT AND LEVEL,WET,WORN SURFACE,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,11/1/2017 20:29,FAILING TO YIELD RIGHT-OF-WAY,WEATHER,230,N,MICHIGAN AVE,111,,,,,,,3,NONINCAPACITATING INJURY,2,0,0,1,1,1,0,20,4,11,41.88651729,-87.62467769,POINT (-87.624677686429 41.88651728872),1
JA495205,,11/1/2017 20:08,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",11/1/2017 22:05,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER LANE USAGE,400,W,FULLERTON PKWY,1935,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,4,11,41.92571993,-87.63918933,POINT (-87.639189328978 41.925719927241),1
JA495085,,11/1/2017 20:10,5,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,REAR END,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,N,"OVER $1,500",11/1/2017 20:20,EXCEEDING SAFE SPEED FOR CONDITIONS,FAILING TO REDUCE SPEED TO AVOID CRASH,7900,S,HALSTED ST,621,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,4,11,41.75054956,-87.64418837,POINT (-87.644188367841 41.750549559439),1
JA495084,,11/1/2017 20:12,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DARKNESS,TURNING,OTHER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/1/2017 20:12,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,1711,W,PETERSON AVE,2012,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,4,11,41.99067083,-87.67213596,POINT (-87.672135960369 41.990670826023),1
JA495110,,11/1/2017 20:17,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/1/2017 20:50,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,807,W,WEBSTER AVE,1812,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,4,11,41.92170206,-87.64894373,POINT (-87.64894373163 41.921702060963),1
