RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JA495871,,11/02/2017 12:52:00 PM,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/02/2017 12:54:00 PM,IMPROPER BACKING,NOT APPLICABLE,2416,W,DEVON AVE,2412,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,12,5,11,41.997825447,-87.690622592,POINT (-87.690622592489 41.997825446944)
JA495971,,11/02/2017 12:55:00 PM,30,NO CONTROLS,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,OTHER,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/02/2017 01:54:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,815,N,CENTRAL AVE,1524,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,12,5,11,41.895380817,-87.765267032,POINT (-87.76526703216 41.895380816775)
JA497018,Y,11/02/2017 01:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"$501 - $1,500",11/03/2017 11:00:00 AM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4600,W,WASHINGTON BLVD,1113,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,13,5,11,41.881984435,-87.740163011,POINT (-87.740163011434 41.881984434835)
JA495878,,11/02/2017 01:00:00 PM,0,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/02/2017 01:01:00 PM,IMPROPER BACKING,NOT APPLICABLE,8455,S,COMMERCIAL AVE,424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.741973333,-87.551371477,POINT (-87.551371477085 41.741973332658)
JA495907,,11/02/2017 01:05:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/02/2017 01:15:00 PM,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,800,W,79TH ST,621,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.750751157,-87.644107793,POINT (-87.644107793009 41.750751157473)
JA495915,,11/02/2017 01:06:00 PM,0,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",11/02/2017 01:08:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4501,W,JACKSON BLVD,1131,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,13,5,11,41.876826076,-87.737881532,POINT (-87.73788153234 41.876826075795)
JA496299,,11/02/2017 01:15:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/02/2017 05:40:00 PM,DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,1200,S,WESTERN AVE,1023,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,13,5,11,41.866550063,-87.68618329,POINT (-87.686183289643 41.866550063499)
JA495933,,11/02/2017 01:25:00 PM,35,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/02/2017 01:37:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,9300,S,SOUTH CHICAGO AVE,424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.726260259,-87.550724587,POINT (-87.550724586828 41.726260258806)
JA496027,Y,11/02/2017 01:30:00 PM,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/02/2017 02:32:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2755,W,25TH ST,1034,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,5,11,41.846344488,-87.694986889,POINT (-87.694986888568 41.846344488077)
JA495946,,11/02/2017 01:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,PARKING LOT,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/02/2017 01:57:00 PM,IMPROPER BACKING,NOT APPLICABLE,2460,S,KEDZIE AVE,1024,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.846422605,-87.705243547,POINT (-87.705243547291 41.846422605153)
JA496386,,11/02/2017 01:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,PARKING LOT,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/02/2017 06:58:00 PM,IMPROPER BACKING,NOT APPLICABLE,2416,S,PULASKI RD,1013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,13,5,11,41.847314245,-87.724788103,POINT (-87.724788102913 41.847314245326)
JA495937,,11/02/2017 01:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/02/2017 01:35:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,1600,E,75TH ST,324,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.758877741,-87.585682441,POINT (-87.585682440932 41.758877741252)
JA495956,,11/02/2017 01:30:00 PM,0,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/02/2017 01:50:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,301,W,76TH ST,623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.756177643,-87.632276559,POINT (-87.632276559321 41.756177643017)
JA495940,,11/02/2017 01:30:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,3,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/02/2017 01:45:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,131,S,DEARBORN ST,112,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.87988544,-87.629211595,POINT (-87.629211594803 41.879885440301)
JA495922,,11/02/2017 01:30:00 PM,20,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,FIXED OBJECT,ALLEY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,Y,"OVER $1,500",11/02/2017 01:36:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,7112,S,CLAREMONT AVE,832,,Y,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,5,11,41.764288503,-87.68205525,POINT (-87.682055250086 41.764288502957)
JA495917,,11/02/2017 01:31:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,,CURVE ON GRADE,WET,SHOULDER DEFECT,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/02/2017 01:31:00 PM,FAILING TO YIELD RIGHT-OF-WAY,WEATHER,4700,W,59TH ST,813,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,3,0,13,5,11,41.784385694,-87.740065946,POINT (-87.740065945952 41.784385693962)
JA496257,,11/02/2017 01:35:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/02/2017 05:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6184,N,INDIAN RD,1611,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,5,11,41.993480601,-87.777277115,POINT (-87.777277114929 41.99348060127)
JA496135,,11/02/2017 01:36:00 PM,35,TRAFFIC SIGNAL,UNKNOWN,RAIN,DAYLIGHT,TURNING,UNKNOWN,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,11/02/2017 01:36:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1657,N,PULASKI RD,2535,,,,,,,2,"REPORTED, NOT EVIDENT",2,0,0,0,2,2,0,13,5,11,41.91156189,-87.726238894,POINT (-87.726238894325 41.911561889584)
JA496050,,11/02/2017 01:41:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,OTHER OBJECT,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/02/2017 01:50:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1748,W,WEBSTER AVE,1432,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,5,11,41.921597853,-87.672235253,POINT (-87.672235253327 41.921597852798)
JA495983,,11/02/2017 01:44:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/02/2017 01:55:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,400,W,ADAMS ST,121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.879444204,-87.638142325,POINT (-87.638142325039 41.879444203925)
JA495982,,11/02/2017 01:45:00 PM,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,PARKING LOT,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"$501 - $1,500",11/02/2017 02:00:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,238,W,DIVISION ST,1821,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.903937605,-87.6362147,POINT (-87.636214700165 41.903937604633)
JA495969,,11/02/2017 01:48:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,TURNING,NOT DIVIDED,6,STRAIGHT AND LEVEL,WET,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/02/2017 02:10:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7900,S,SOUTH CHICAGO AVE,411,,,,,,,4,NONINCAPACITATING INJURY,1,0,0,1,0,3,0,13,5,11,41.751339705,-87.585632266,POINT (-87.585632265652 41.751339704589)
JA496518,N,11/02/2017 01:55:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/02/2017 08:20:00 PM,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,5708,N,CENTRAL PARK AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,11,41.985074146,-87.718862415,POINT (-87.718862415045 41.985074145511)
JA501096,,11/02/2017 02:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/06/2017 12:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,368,N,ASHLAND AVE,1215,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.888836604,-87.667214744,POINT (-87.66721474429 41.888836603509)
JA496065,,11/02/2017 02:00:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/02/2017 02:04:00 PM,NOT APPLICABLE,NOT APPLICABLE,2433,N,LINCOLN AVE,1935,,Y,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,14,5,11,41.926240849,-87.649662645,POINT (-87.649662644864 41.926240849122)
JA496056,,11/02/2017 02:00:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/02/2017 03:20:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5230,S,LAKE PARK AVE,234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,5,11,41.800123379,-87.58750991,POINT (-87.58750991043 41.800123378668)
JA496178,Y,11/02/2017 02:10:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,4,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/02/2017 04:45:00 PM,IMPROPER LANE USAGE,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),109,S,CLINTON ST,121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,14,5,11,41.880265238,-87.640997369,POINT (-87.64099736887 41.880265238353)
JA496071,,11/02/2017 02:10:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/02/2017 03:14:00 PM,WEATHER,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,9800,S,STATE ST,511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.716866747,-87.62290363,POINT (-87.622903630426 41.716866747289)
JA496081,,11/02/2017 02:15:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/02/2017 03:45:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,637,W,16TH ST,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,5,11,41.859850605,-87.64339777,POINT (-87.643397770175 41.859850604681)
JA496044,,11/02/2017 02:20:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,OTHER,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/02/2017 02:38:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,7358,W,HIGGINS AVE,1613,,,,,,,2,NONINCAPACITATING INJURY,4,0,0,2,2,0,0,14,5,11,41.982125084,-87.81154403,POINT (-87.811544030201 41.982125084275)
JA496012,,11/02/2017 02:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/02/2017 02:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1745,N,CLYBOURN AVE,1813,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.912877709,-87.652043911,POINT (-87.652043910921 41.912877708525)
JA496105,,11/02/2017 02:30:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/02/2017 03:50:00 PM,NOT APPLICABLE,NOT APPLICABLE,1032,W,MARQUETTE RD,724,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.772494547,-87.650731159,POINT (-87.650731158733 41.772494547096)
JA498373,,11/02/2017 02:30:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,$500 OR LESS,11/04/2017 10:05:00 AM,IMPROPER BACKING,NOT APPLICABLE,5100,N,CALIFORNIA AVE,2031,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.974035936,-87.699016612,POINT (-87.699016611612 41.974035935627)
JA497260,,11/02/2017 02:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/03/2017 01:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8105,S,OAKLEY AVE,835,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.746319884,-87.6802303,POINT (-87.68023030046 41.746319883894)
JA496406,,11/02/2017 02:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/02/2017 07:00:00 PM,FAILING TO YIELD RIGHT-OF-WAY,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",5800,N,SHERIDAN RD,2022,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.987446801,-87.655453001,POINT (-87.65545300098 41.98744680079)
JA496029,,11/02/2017 02:35:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",11/02/2017 02:37:00 PM,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,1000,W,MARQUETTE RD,724,,,,,,,3,INCAPACITATING INJURY,1,0,1,0,0,2,0,14,5,11,41.7725135,-87.649518232,POINT (-87.649518231593 41.772513500467)
JA496016,,11/02/2017 02:36:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",11/02/2017 02:37:00 PM,DISREGARDING STOP SIGN,FAILING TO REDUCE SPEED TO AVOID CRASH,2400,E,90TH ST,423,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.73182912,-87.565799045,POINT (-87.565799045256 41.731829119788)
JA496054,,11/02/2017 02:40:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/02/2017 02:41:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,6325,N,LINCOLN AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,14,5,11,41.996359865,-87.716863931,POINT (-87.716863930936 41.996359865024)
JA496062,,11/02/2017 02:40:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/02/2017 03:20:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,500,N,COLUMBUS DR,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.891044569,-87.620371839,POINT (-87.620371839074 41.891044569124)
JA496941,,11/02/2017 02:40:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/03/2017 09:25:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4900,N,ASHLAND AVE,2032,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.971883254,-87.669668478,POINT (-87.66966847772 41.971883253741)
JA496052,,11/02/2017 02:43:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/02/2017 03:05:00 PM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,1702,N,WELLS ST,1814,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.912979173,-87.634914406,POINT (-87.634914405801 41.912979173354)
JA496024,,11/02/2017 02:48:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/02/2017 02:50:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,2749,W,79TH ST,835,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,11,41.749762095,-87.692088397,POINT (-87.692088397223 41.749762094672)
JA496073,,11/02/2017 02:53:00 PM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,WORN SURFACE,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/02/2017 02:53:00 PM,FAILING TO YIELD RIGHT-OF-WAY,DISREGARDING STOP SIGN,9000,S,JEFFERY BLVD,413,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,3,0,14,5,11,41.731490995,-87.575730053,POINT (-87.575730053476 41.731490995184)
JA496038,,11/02/2017 02:57:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/02/2017 02:57:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,2525,S,HALSTED ST,914,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,5,11,41.846231721,-87.646316951,POINT (-87.646316951155 41.846231721186)
